ell,Dl_TT_muK2,Dl_EE_muK2,Dl_TE_muK2,Cl_TT,Cl_EE,Cl_TE,Cl_BB
1513,136.87586490602948,1.4816800280467657,-4.186855593277906,1.3775131559201135e-16,1.4911567739862323e-18,-4.2136344969491904e-18,0.0
1514,136.5905984092898,1.47869011606281,-4.178268254343005,1.372827536225753e-16,1.4861831872154801e-18,-4.1994410889921585e-18,0.0
1515,136.3073357033352,1.475721368727214,-4.169741460515036,1.3681731929844695e-16,1.4812426687007142e-18,-4.1853422330614825e-18,0.0
1516,136.02607509569344,1.472773772990409,-4.161275167516723,1.3635499977513475e-16,1.4763350875459425e-18,-4.1713375478329936e-18,0.0
1517,135.74681482983297,1.4698473150914921,-4.152869329085417,1.3589578219541084e-16,1.4714603126605723e-18,-4.157426651511866e-18,0.0
1518,135.46955308572353,1.4669419805641286,-4.144523896989999,1.3543965369006696e-16,1.4666182127677267e-18,-4.14360916185593e-18,0.0
1519,135.19428798039505,1.464057754242425,-4.136238821047745,1.3498660137866252e-16,1.461808656412472e-18,-4.1298846961987564e-18,0.0
1520,134.92101756849286,1.4611946202667776,-4.128014049141069,1.3453661237026355e-16,1.4570315119699541e-18,-4.1162528714724535e-18,0.0
1521,134.64973984283031,1.4583525620896864,-4.11984952723421,1.3408967376417305e-16,1.4522866476534408e-18,-4.1027133042302204e-18,0.0
1522,134.38045273493887,1.4555315624815524,-4.11174519938983,1.3364577265065368e-16,1.4475739315222865e-18,-4.089265610668653e-18,0.0
1523,134.113154115614,1.452731603536426,-4.103701007785485,1.332048961116402e-16,1.4428932314897868e-18,-4.07590940664975e-18,0.0
1524,133.84784179545971,1.4499526666777494,-4.095716892730087,1.3276703122144538e-16,1.4382444153309668e-18,-4.062644307722729e-18,0.0
1525,133.58451352542772,1.4471947326640366,-4.087792792680162,1.323321650474552e-16,1.433627350690252e-18,-4.049469929145493e-18,0.0
1526,133.32316699735537,1.444457781594551,-4.0799286442561105,1.3190028465081714e-16,1.429041905089071e-18,-4.036385885905921e-18,0.0
1527,133.06379984449916,1.4417417929149303,-4.072124382258322,1.3147137708711907e-16,1.4244879459333572e-18,-4.0233917927428546e-18,0.0
1528,132.80640964206495,1.4390467454227878,-4.0643799396831986,1.3104542940705974e-16,1.4199653405209613e-18,-4.0104872641668295e-18,0.0
1529,132.55099390773492,1.4363726172732676,-4.056695247739064,1.3062242865711034e-16,1.4154739560489685e-18,-3.997671914480551e-18,0.0
1530,132.29755010219128,1.433719385984582,-4.0490702358620085,1.3020236188016844e-16,1.411013659620939e-18,-3.984945357799124e-18,0.0
1531,132.0460756296357,1.4310870284434944,-4.0415048317315785,1.2978521611620195e-16,1.4065843182540373e-18,-3.972307208069993e-18,0.0
1532,131.79656783830552,1.428475520910777,-4.033998961286388,1.293709784028857e-16,1.4021857988860889e-18,-3.959757079092648e-18,0.0
1533,131.5490240209869,1.4258848390266337,-4.026552548739637,1.2895963577622934e-16,1.3978179683825415e-18,-3.94729458453808e-18,0.0
1534,131.3034414155226,1.4233149578160684,-4.01916551659446,1.2855117527119546e-16,1.3934806935433234e-18,-3.93491933796793e-18,0.0
1535,131.05981720531773,1.4207658516942354,-4.0118377856592256,1.2814558392231101e-16,1.3891738411096308e-18,-3.922630952853436e-18,0.0
1536,130.8181485198404,1.418237494471737,-4.00456927506269,1.2774284876426885e-16,1.3848972777706127e-18,-3.9104290425940894e-18,0.0
1537,130.57843243511928,1.415729859359887,-3.9973599022690407,1.2734295683252137e-16,1.3806508701699668e-18,-3.8983132205360455e-18,0.0
1538,130.3406659742365,1.4132429189759297,-3.990209583092812,1.2694589516386541e-16,1.3764344849124472e-18,-3.886283099990264e-18,0.0
1539,130.10484610781688,1.4107766453482222,-3.9831182317137017,1.2655165079701884e-16,1.3722479885702827e-18,-3.874338294250412e-18,0.0
1540,129.87096975451365,1.4083310099213746,-3.976085760691257,1.2616021077318883e-16,1.3680912476895045e-18,-3.862478416610498e-18,0.0
1541,129.63903378148873,1.4059059835613443,-3.969112080979424,1.2577156213663113e-16,1.363964128796182e-18,-3.850703080382247e-18,0.0
1542,129.40903500489028,1.4035015365604926,-3.9621971019410065,1.2538569193520174e-16,1.3598664984025736e-18,-3.839011898912239e-18,0.0
1543,129.18097019032504,1.4011176386425956,-3.955340731361967,1.2500258722089952e-16,1.3557982230131846e-18,-3.827404485598768e-18,0.0
1544,128.95483605332694,1.3987542589678101,-3.9485428754656167,1.2462223505040082e-16,1.3517591691307373e-18,-3.8158804539084706e-18,0.0
1545,128.7306292598213,1.3964113661375999,-3.9418034389266805,1.2424462248558554e-16,1.3477492032620529e-18,-3.804439417392685e-18,0.0
1546,128.50834642658495,1.3940889281996138,-3.9351223248852274,1.238697365940554e-16,1.343768191923845e-18,-3.793080989703569e-18,0.0
1547,128.28798412170144,1.3917869126525213,-3.928499434960471,1.234975644496431e-16,1.3398160016484241e-18,-3.7818047846099616e-18,0.0
1548,128.0695388650123,1.3895052864507986,-3.9219346692644383,1.2312809313291404e-16,1.335892498989314e-18,-3.7706104160129924e-18,0.0
