k_Mpc_inv,Pk_z0,Pk_z05,Pk_z1
0.032237488781490305,1.3085923727293433e-05,7.982413473648993e-06,4.84179177909857e-06
0.033502993419772295,1.374109788547113e-05,8.382069710137389e-06,5.084206217624318e-06
0.034818176306889666,1.4428968525681545e-05,8.801670800665742e-06,5.338718354502172e-06
0.036184987596427465,1.5150745462205756e-05,9.241954731945512e-06,5.605775821016129e-06
0.03760545399658172,1.59075985124473e-05,9.703635092592853e-06,5.8858114496055015e-06
0.03908168177536264,1.6700640064841853e-05,1.018739043955353e-05,6.1792368239914854e-06
0.0406158598837698,1.753090511870372e-05,1.069385212240927e-05,6.486434893920376e-06
0.04221026320156899,1.8399328613773963e-05,1.1223590454402117e-05,6.807751587096366e-06
0.04386725591048499,1.9306719888129422e-05,1.1777099131758946e-05,7.143486358607886e-06
0.04558929499981059,2.0253734134839123e-05,1.2354777822251864e-05,7.493881629890475e-06
0.04737893390963144,2.1240840772427086e-05,1.2956912871180522e-05,7.859111085798021e-06
0.04923882631706741,2.22682887040256e-05,1.3583656109455615e-05,8.239266820489472e-06
0.051171730071146046,2.3336068517300833e-05,1.4235001795553508e-05,8.634345351401308e-06
0.053180511282142025,2.4443871773898902e-05,1.491076178207833e-05,9.044232556342593e-06
0.05526814857144603,2.5591047655101768e-05,1.5610539069612077e-05,9.468687632387654e-06
0.05743773748826587,2.677655737089498e-05,1.633369999624594e-05,9.907326227231144e-06
0.05969249509970734,2.7998926903241205e-05,1.7079345410977134e-05,1.0359602954199246e-05
0.06203576476104275,2.9256198840441737e-05,1.784628129266946e-05,1.0824793570963444e-05
0.0644710210732387,3.0545884265999595e-05,1.8632989402259754e-05,1.130197717841985e-05
0.0670018750350959,3.186491588848508e-05,1.94375986919759e-05,1.1790018878739479e-05
0.06963207939763882,3.320960383242098e-05,2.0257858337776797e-05,1.2287553417995762e-05
0.07236553422869657,3.45755957454575e-05,2.1091113404729077e-05,1.2792970425819276e-05
0.07520629269592408,3.595784310255392e-05,2.193428429255789e-05,1.330440194794495e-05
0.0781585670768409,3.7350575789041256e-05,2.2783851231315167e-05,1.3819713041945264e-05
0.08122673500479712,3.874728720395985e-05,2.3635845194415506e-05,1.4336496265465143e-05
0.08441534596012985,4.0140732223158725e-05,2.4485846656126823e-05,1.4852070922568727e-05
0.08772912801613356,4.152294037681208e-05,2.532899362985537e-05,1.5363487939420468e-05
0.09117299484984921,4.288524650625209e-05,2.6160000368813775e-05,1.5867541207313274e-05
0.09475205302806537,4.421834094943642e-05,2.6973187979156215e-05,1.6360786151291475e-05
0.09847160957933775,4.551234094524566e-05,2.7762527976599855e-05,1.6839566149740894e-05
0.10233717986325203,4.67568844319726e-05,2.8521699503503288e-05,1.7300047239829863e-05
0.10635449574860112,4.7941246740824326e-05,2.9244160511902838e-05,1.7738261294105e-05
0.11052951411260221,4.905447985768352e-05,2.9923232713186945e-05,1.8150157547342902e-05
0.11486842567375537,5.008557296530048e-05,3.055219950883329e-05,1.853166199716118e-05
